**** Planta:    1 CAMARGOS    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2036 2963.08 3009.27 3052.89 3114.47 3124.74    3135    3135    3135    3135    3135 2983.61 2929.72
2037 2963.08 3009.27 3052.89 3114.47 3124.74    3135    3135    3135    3135    3135 2983.61 2929.72
2038 2963.08 3009.27 3052.89 3114.47 3124.74    3135    3135    3135    3135    3135 2983.61 2929.72
2039 2963.08 3009.27 3052.89 3114.47 3124.74    3135    3135    3135    3135    3135 2983.61 2929.72
**** Planta:   40 PROMISSAO   
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 6507.86 7229.25 7318.62    7408    7408    7408    7408    7408    7408    7408 6456.78 6456.78
2026 6507.86 7229.25 7318.62    7408    7408    7408    7408    7408    7408    7408 6456.78 6456.78
2027 6507.86 7229.25 7318.62    7408    7408    7408    7408    7408    7408    7408 6456.78 6456.78
2028 6507.86 7229.25 7318.62    7408    7408    7408    7408    7408    7408    7408 6456.78 6456.78
2029 6507.86 7229.25 7318.62    7408    7408    7408    7408    7408    7408    7408 6456.78 6456.78
2030 6507.86 7229.25 7318.62    7408    7408    7408    7408    7408    7408    7408 6456.78 6456.78
2031 6507.86 7229.25 7318.62    7408    7408    7408    7408    7408    7408    7408 6456.78 6456.78
2032 6507.86 7229.25 7318.62    7408    7408    7408    7408    7408    7408    7408 6456.78 6456.78
2033 6507.86 7229.25 7318.62    7408    7408    7408    7408    7408    7408    7408 6456.78 6456.78
2034 6507.86 7229.25 7318.62    7408    7408    7408    7408    7408    7408    7408 6456.78 6456.78
2035 6507.86 7229.25 7318.62    7408    7408    7408    7408    7408    7408    7408 6456.78 6456.78
2036 6507.86 7229.25 7318.62    7408    7408    7408    7408    7408    7408    7408 6456.78 6456.78
2037 6507.86 7229.25 7318.62    7408    7408    7408    7408    7408    7408    7408 6456.78 6456.78
2038 6507.86 7229.25 7318.62    7408    7408    7408    7408    7408    7408    7408 6456.78 6456.78
2039 6507.86 7229.25 7318.62    7408    7408    7408    7408    7408    7408    7408 6456.78 6456.78
**** Planta:   43 _TRES IRMAOS
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 12194.5 12557.7 13094.4   13372   13372   13372   13372   13372   13372   13372 12194.5 12194.5
2026 12194.5 12557.7 13094.4   13372   13372   13372   13372   13372   13372   13372 12194.5 12194.5
2027 12194.5 12557.7 13094.4   13372   13372   13372   13372   13372   13372   13372 12194.5 12194.5
2028 12194.5 12557.7 13094.4   13372   13372   13372   13372   13372   13372   13372 12194.5 12194.5
2029 12194.5 12557.7 13094.4   13372   13372   13372   13372   13372   13372   13372 12194.5 12194.5
2030 12194.5 12557.7 13094.4   13372   13372   13372   13372   13372   13372   13372 12194.5 12194.5
2031 12194.5 12557.7 13094.4   13372   13372   13372   13372   13372   13372   13372 12194.5 12194.5
2032 12194.5 12557.7 13094.4   13372   13372   13372   13372   13372   13372   13372 12194.5 12194.5
2033 12194.5 12557.7 13094.4   13372   13372   13372   13372   13372   13372   13372 12194.5 12194.5
2034 12194.5 12557.7 13094.4   13372   13372   13372   13372   13372   13372   13372 12194.5 12194.5
2035 12194.5 12557.7 13094.4   13372   13372   13372   13372   13372   13372   13372 12194.5 12194.5
2036 12194.5 12557.7 13094.4   13372   13372   13372   13372   13372   13372   13372 12194.5 12194.5
2037 12194.5 12557.7 13094.4   13372   13372   13372   13372   13372   13372   13372 12194.5 12194.5
2038 12194.5 12557.7 13094.4   13372   13372   13372   13372   13372   13372   13372 12194.5 12194.5
2039 12194.5 12557.7 13094.4   13372   13372   13372   13372   13372   13372   13372 12194.5 12194.5
**** Planta:   47 A.A. LAYDNER
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 6650.36 6849.75    7008 6957.36 6612.38 6742.14 6805.44  6881.4 6618.71 6928.88 6935.21 6650.36
2026 6650.36 6849.75    7008 6957.36 6612.38 6742.14 6805.44  6881.4 6618.71 6928.88 6935.21 6650.36
2027 6650.36 6849.75    7008 6957.36 6612.38 6742.14 6805.44  6881.4 6618.71 6928.88 6935.21 6650.36
