$version=1
!Code,Latitude,Longitude
1637,-19.5,-41.02
1638,-19.68,-42.92
1640,-19.12,-42.67
1645,-19.01,-42.12
1646,-19.54,-42.64
1647,-16.83,-42.02
1649,-18.8,-42.96
1650,-20.58,-43.97
1651,-19.48,-42.55
1652,-19.12,-42.72
1655,-20.7,-42.06
1656,-18.72,-42.26
1657,-19.09,-42.85
1659,-19.52,-42.77
1661,-18.76,-41.31
1666,-20.4,-43.52
1667,-21.19,-43.75
1668,-21.16,-43.97
1669,-20.91,-43.83
1670,-20.43,-43.89
1671,-21.18,-44.27
1672,-21.37,-43.57
1673,-21.71,-43.4
1674,-21.66,-43.43
1675,-20.66,-43.82
1677,-20.21,-43.5
1678,-20.39,-43.43
1679,-20.4,-43.51
1680,-20.3,-43.76
1681,-20.43,-42.9
1684,-21.44,-43.55
1685,-21.14,-44.25
1687,-21.51,-43.37
1689,-21.98,-43.35
1690,-20.75,-42.88
1691,-20.49,-43.46
1692,-21.77,-43.4
1693,-21.75,-43.35
1694,-21.78,-43.34
1695,-21.47,-43.53
1696,-21.49,-43.4
1697,-21.85,-43.89
1699,-20.26,-43.79
1708,-15.92,-43.33
1712,-18.65,-48.21
1713,-19.61,-46.94
1715,-18.77,-49.07
1716,-20.59,-46.91
1717,-18.47,-47.21
1718,-18.98,-46.31
1719,-20.06,-48.94
1720,-19.51,-46.56
1721,-18.99,-47.48
1723,-18.74,-47.5
1724,-19.14,-47.69
1725,-20.7,-46.59
1726,-22.56,-45.77
1727,-20.73,-46.87
1728,-18.59,-46.53
1729,-18.61,-46.47
1730,-19.37,-46.26
1731,-19.86,-47.45
1732,-20.91,-46.98
1733,-19.72,-47.92
1735,-19.74,-47.98
1736,-19.35,-48.09
1737,-19.98,-47.89
1738,-19.78,-47.91
1739,-18.91,-48.34
1740,-18.93,-48.26
1741,-18.91,-48.22
1742,-19.63,-46.98
1744,-18.46,-47.99
1746,-20.02,-47.44
1747,-18.91,-48.05
1750,-18.81,-48.39
1751,-19.94,-47.81
1752,-19.67,-46.91
1760,-20.31,-45.58
1770,-20.3,-45.55
1771,-19.75,-45.25
1772,-20.15,-44.88
1773,-20.12,-44.93
1774,-20.13,-44.84
1775,-20.19,-45.71
1776,-20.05,-44.57
1777,-20.01,-44.43
1778,-19.87,-44.99
1779,-20.36,-45.66
1780,-20.47,-45.79
1781,-20.27,-45.21
1782,-19.86,-44.62
1783,-20.07,-44.84
1784,-20.1,-44.85
1785,-20.43,-44.78
1786,-20.1,-44.84
1800,-17.11,-43.82
1801,-17.07,-46.04
1803,-18.37,-44.48
1804,-18.74,-44.4
1805,-18.23,-43.62
1806,-16.35,-43.67
1807,-17.64,-47.04
1808,-15.09,-44.09
1809,-15.82,-43.3
1810,-15.82,-43.3
1811,-15.91,-43.34
1812,-17.24,-44.45
1813,-17.75,-46.18
1814,-15.35,-43.69
1815,-15.11,-43.81
1816,-15.11,-43.97
1817,-16.67,-43.82
1818,-16.25,-44.18
1819,-15.09,-44.02
1820,-17.22,-46.86
1821,-17.01,-46.23
1822,-17.35,-44.92
1823,-16.18,-42.29
1824,-17.34,-44.87
1825,-17.31,-44.92
1826,-16.21,-47.32
1827,-18.21,-45.26
1828,-16.72,-46.82
1829,-16.4,-46.89
1830,-17.99,-46.89
1831,-17.59,-44.74
1833,-17.34,-44.87
1834,-16.72,-43.88
1838,-16.19,-47.03
1840,-18.22,-45.99
1851,-22.6,-45.55
1858,-21.17,-46.46
1860,-21.45,-45.95
1861,-21.4,-45.98
1862,-22.08,-46.58
1863,-21.12,-45.57
1864,-22.28,-46.16
1865,-21.65,-46.41
1866,-22.47,-45.61
1868,-21.86,-45.28
1869,-21.97,-44.92
1871,-21.29,-46.7
1872,-22.44,-45.46
1873,-22.47,-45.52
1874,-21.29,-44.62
1875,-21.89,-45.59
1876,-21.26,-44.97
1877,-21.7,-45.91
1878,-22.32,-45.36
1879,-21.67,-44.61
1880,-21.38,-46.52
1881,-21.24,-45.22
1882,-22.28,-46.36
1883,-22.22,-45.93
1884,-22.29,-45.9
1885,-21.56,-45.73
1887,-21.8,-46.54
1888,-22.1,-45.05
1889,-22.03,-46.33
1890,-22.27,-45.71
1891,-21.71,-45.25
1892,-21.67,-45.33
