$version=1
!code,Date,block,UB
11,2027/08/01,2,1103.521
11,2027/08/01,3,996.5748
11,2027/08/01,4,835.6095
11,2027/09/01,1,1137.708
11,2027/09/01,2,1137.708
11,2027/09/01,3,1022.754
11,2027/09/01,4,849.864
11,2027/10/01,1,1119.557
11,2027/10/01,2,1119.557
11,2027/10/01,3,1005.584
11,2027/10/01,4,859.5678
11,2027/11/01,1,1108.757
11,2027/11/01,2,1108.757
11,2027/11/01,3,971.8016
11,2027/11/01,4,804.8718
11,2027/12/01,1,1002.608
11,2027/12/01,2,1002.608
11,2027/12/01,3,884.5964
11,2027/12/01,4,734.6512
11,2028/01/01,1,938.528
