**** Planta:   57 MAUA         Penal:    599.53776
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2032       0       0       0       0       0       0       0       0       2       3       0       0
2033       0       0       0       0       0       0       0       0       2       3       0       0
2034       0       0       0       0       0       0       0       0       2       3       0       0
2035       0       0       0       0       0       0       0       0       2       3       0       0
2036       0       0       0       0       0       0       0       0       2       3       0       0
2037       0       0       0       0       0       0       0       0       2       3       0       0
2038       0       0       0       0       0       0       0       0       2       3       0       0
2039       0       0       0       0       0       0       0       0       2       3       0       0
**** Planta:   94 MONJOLINHO   Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       0       0       0       0       0       0       4       0      30      13       0      12
2026       0       0       0       0       0       0       4       0      30      13       0      12
2027       0       0       0       0       0       0       4       0      30      13       0      12
2028       0       0       0       0       0       0       4       0      30      13       0      12
2029       0       0       0       0       0       0       4       0      30      13       0      12
2030       0       0       0       0       0       0       4       0      30      13       0      12
2031       0       0       0       0       0       0       4       0      30      13       0      12
2032       0       0       0       0       0       0       4       0      30      13       0      12
2033       0       0       0       0       0       0       4       0      30      13       0      12
2034       0       0       0       0       0       0       4       0      30      13       0      12
2035       0       0       0       0       0       0       4       0      30      13       0      12
2036       0       0       0       0       0       0       4       0      30      13       0      12
2037       0       0       0       0       0       0       4       0      30      13       0      12
2038       0       0       0       0       0       0       4       0      30      13       0      12
2039       0       0       0       0       0       0       4       0      30      13       0      12
**** Planta:   95 QUEBRA QUEIX Penal:    1119.0771
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      19     0.5     0.5     0.5     0.5       7       1     0.5       1     0.5     0.5      82
2026      19     0.5     0.5     0.5     0.5       7       1     0.5       1     0.5     0.5      82
2027      19     0.5     0.5     0.5     0.5       7       1     0.5       1     0.5     0.5      82
2028      19     0.5     0.5     0.5     0.5       7       1     0.5       1     0.5     0.5      82
2029      19     0.5     0.5     0.5     0.5       7       1     0.5       1     0.5     0.5      82
2030      19     0.5     0.5     0.5     0.5       7       1     0.5       1     0.5     0.5      82
2031      19     0.5     0.5     0.5     0.5       7       1     0.5       1     0.5     0.5      82
2032      19     0.5     0.5     0.5     0.5       7       1     0.5       1     0.5     0.5      82
2033      19     0.5     0.5     0.5     0.5       7       1     0.5       1     0.5     0.5      82
2034      19     0.5     0.5     0.5     0.5       7       1     0.5       1     0.5     0.5      82
2035      19     0.5     0.5     0.5     0.5       7       1     0.5       1     0.5     0.5      82
2036      19     0.5     0.5     0.5     0.5       7       1     0.5       1     0.5     0.5      82
2037      19     0.5     0.5     0.5     0.5       7       1     0.5       1     0.5     0.5      82
2038      19     0.5     0.5     0.5     0.5       7       1     0.5       1     0.5     0.5      82
2039      19     0.5     0.5     0.5     0.5       7       1     0.5       1     0.5     0.5      82
**** Planta:   97 CASTRO ALVES Penal:    1571.4289
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       1       0       0       0       0       0      33       8       0       9       0       3
2026       1       0       0       0       0       0      33       8       0       9       0       3
2027       1       0       0       0       0       0      33       8       0       9       0       3
2028       1       0       0       0       0       0      33       8       0       9       0       3
2029       1       0       0       0       0       0      33       8       0       9       0       3
2030       1       0       0       0       0       0      33       8       0       9       0       3
2031       1       0       0       0       0       0      33       8       0       9       0       3
2032       1       0       0       0       0       0      33       8       0       9       0       3
2033       1       0       0       0       0       0      33       8       0       9       0       3
2034       1       0       0       0       0       0      33       8       0       9       0       3
2035       1       0       0       0       0       0      33       8       0       9       0       3
2036       1       0       0       0       0       0      33       8       0       9       0       3
2037       1       0       0       0       0       0      33       8       0       9       0       3
2038       1       0       0       0       0       0      33       8       0       9       0       3
2039       1       0       0       0       0       0      33       8       0       9       0       3
**** Planta:   98 MONTE CLARO  Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       9       0       0       0       0       0      74      19       4      17       0       0
2026       9       0       0       0       0       0      74      19       4      17       0       0
2027       9       0       0       0       0       0      74      19       4      17       0       0
2028       9       0       0       0       0       0      74      19       4      17       0       0
2029       9       0       0       0       0       0      74      19       4      17       0       0
2030       9       0       0       0       0       0      74      19       4      17       0       0
2031       9       0       0       0       0       0      74      19       4      17       0       0
2032       9       0       0       0       0       0      74      19       4      17       0       0
2033       9       0       0       0       0       0      74      19       4      17       0       0
2034       9       0       0       0       0       0      74      19       4      17       0       0
2035       9       0       0       0       0       0      74      19       4      17       0       0
2036       9       0       0       0       0       0      74      19       4      17       0       0
2037       9       0       0       0       0       0      74      19       4      17       0       0
2038       9       0       0       0       0       0      74      19       4      17       0       0
2039       9       0       0       0       0       0      74      19       4      17       0       0
**** Planta:   99 14 DE JULHO  Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       1       0       0       0       0       0      68      17       0      14       1       0
2026       1       0       0       0       0       0      68      17       0      14       1       0
2027       1       0       0       0       0       0      68      17       0      14       1       0
2028       1       0       0       0       0       0      68      17       0      14       1       0
2029       1       0       0       0       0       0      68      17       0      14       1       0
2030       1       0       0       0       0       0      68      17       0      14       1       0
2031       1       0       0       0       0       0      68      17       0      14       1       0
2032       1       0       0       0       0       0      68      17       0      14       1       0
2033       1       0       0       0       0       0      68      17       0      14       1       0
2034       1       0       0       0       0       0      68      17       0      14       1       0
2035       1       0       0       0       0       0      68      17       0      14       1       0
2036       1       0       0       0       0       0      68      17       0      14       1       0
2037       1       0       0       0       0       0      68      17       0      14       1       0
2038       1       0       0       0       0       0      68      17       0      14       1       0
2039       1       0       0       0       0       0      68      17       0      14       1       0
**** Planta:  101 SAO JOSE     Penal:     1457.682
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      99      53    43.8    43.8    43.8      72     106     119      88      73      69      83
2026      99      53    43.8    43.8    43.8      72     106     119      88      73      69      83
2027      99      53    43.8    43.8    43.8      72     106     119      88      73      69      83
2028      99      53    43.8    43.8    43.8      72     106     119      88      73      69      83
2029      99      53    43.8    43.8    43.8      72     106     119      88      73      69      83
2030      99      53    43.8    43.8    43.8      72     106     119      88      73      69      83
2031      99      53    43.8    43.8    43.8      72     106     119      88      73      69      83
2032      99      53    43.8    43.8    43.8      72     106     119      88      73      69      83
2033      99      53    43.8    43.8    43.8      72     106     119      88      73      69      83
2034      99      53    43.8    43.8    43.8      72     106     119      88      73      69      83
2035      99      53    43.8    43.8    43.8      72     106     119      88      73      69      83
2036      99      53    43.8    43.8    43.8      72     106     119      88      73      69      83
2037      99      53    43.8    43.8    43.8      72     106     119      88      73      69      83
2038      99      53    43.8    43.8    43.8      72     106     119      88      73      69      83
2039      99      53    43.8    43.8    43.8      72     106     119      88      73      69      83
**** Planta:  102 PASSO S JOAO Penal:    694.44286
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      50      50      50      50      50      57      60      89      54      50      50      50
2026      50      50      50      50      50      57      60      89      54      50      50      50
2027      50      50      50      50      50      57      60      89      54      50      50      50
2028      50      50      50      50      50      57      60      89      54      50      50      50
2029      50      50      50      50      50      57      60      89      54      50      50      50
2030      50      50      50      50      50      57      60      89      54      50      50      50
2031      50      50      50      50      50      57      60      89      54      50      50      50
2032      50      50      50      50      50      57      60      89      54      50      50      50
2033      50      50      50      50      50      57      60      89      54      50      50      50
2034      50      50      50      50      50      57      60      89      54      50      50      50
2035      50      50      50      50      50      57      60      89      54      50      50      50
2036      50      50      50      50      50      57      60      89      54      50      50      50
2037      50      50      50      50      50      57      60      89      54      50      50      50
2038      50      50      50      50      50      57      60      89      54      50      50      50
2039      50      50      50      50      50      57      60      89      54      50      50      50
**** Planta:  103 FOZ CHAPECO  Penal:    245.23715
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     200     200     200     200     200     200     200     272     323     200     200     200
2026     200     200     200     200     200     200     200     272     323     200     200     200
2027     200     200     200     200     200     200     200     272     323     200     200     200
2028     200     200     200     200     200     200     200     272     323     200     200     200
2029     200     200     200     200     200     200     200     272     323     200     200     200
2030     200     200     200     200     200     200     200     272     323     200     200     200
2031     200     200     200     200     200     200     200     272     323     200     200     200
2032     200     200     200     200     200     200     200     272     323     200     200     200
2033     200     200     200     200     200     200     200     272     323     200     200     200
2034     200     200     200     200     200     200     200     272     323     200     200     200
2035     200     200     200     200     200     200     200     272     323     200     200     200
2036     200     200     200     200     200     200     200     272     323     200     200     200
2037     200     200     200     200     200     200     200     272     323     200     200     200
2038     200     200     200     200     200     200     200     272     323     200     200     200
2039     200     200     200     200     200     200     200     272     323     200     200     200
**** Planta:  110 ERNESTINA    Penal:    2077.6305
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      20      30      28      28      27      27      35      34      24      30      30      52
2026      20      30      28      28      27      27      35      34      24      30      30      52
2027      20      30      28      28      27      27      35      34      24      30      30      52
2028      20      30      28      28      27      27      35      34      24      30      30      52
2029      20      30      28      28      27      27      35      34      24      30      30      52
2030      20      30      28      28      27      27      35      34      24      30      30      52
2031      20      30      28      28      27      27      35      34      24      30      30      52
2032      20      30      28      28      27      27      35      34      24      30      30      52
2033      20      30      28      28      27      27      35      34      24      30      30      52
2034      20      30      28      28      27      27      35      34      24      30      30      52
2035      20      30      28      28      27      27      35      34      24      30      30      52
2036      20      30      28      28      27      27      35      34      24      30      30      52
2037      20      30      28      28      27      27      35      34      24      30      30      52
2038      20      30      28      28      27      27      35      34      24      30      30      52
2039      20      30      28      28      27      27      35      34      24      30      30      52
**** Planta:  111 PASSO REAL   Penal:    432.56954
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      18     188       0       0       0       0       4      10      65      36       0       2
2026      18     188       0       0       0       0       4      10      65      36       0       2
2027      18     188       0       0       0       0       4      10      65      36       0       2
2028      18     188       0       0       0       0       4      10      65      36       0       2
2029      18     188       0       0       0       0       4      10      65      36       0       2
2030      18     188       0       0       0       0       4      10      65      36       0       2
2031      18     188       0       0       0       0       4      10      65      36       0       2
2032      18     188       0       0       0       0       4      10      65      36       0       2
2033      18     188       0       0       0       0       4      10      65      36       0       2
2034      18     188       0       0       0       0       4      10      65      36       0       2
2035      18     188       0       0       0       0       4      10      65      36       0       2
2036      18     188       0       0       0       0       4      10      65      36       0       2
2037      18     188       0       0       0       0       4      10      65      36       0       2
2038      18     188       0       0       0       0       4      10      65      36       0       2
