NUM: 117 GUARAPIRANGA          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2038  0.13  0.43  0.21  0.95  1.59  1.92  2.06  2.35  1.85  1.17  0.13  0.12
2039  0.13  0.43  0.21  0.96   1.6  1.94  2.08  2.38  1.87  1.19  0.13  0.12
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 131 NILO PECANHA          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.06  0.06  0.06  0.07  0.07  0.07  0.07  0.08  0.08  0.07  0.06  0.06
2026  0.06  0.06  0.06  0.07  0.07  0.07  0.07  0.08  0.08  0.07  0.06  0.06
2027  0.06  0.06  0.06  0.07  0.07  0.07  0.08  0.08  0.08  0.07  0.06  0.06
2028  0.06  0.06  0.06  0.07  0.07  0.07  0.08  0.08  0.08  0.07  0.06  0.06
2029  0.06  0.06  0.06  0.07  0.07  0.08  0.08  0.08  0.08  0.07  0.06  0.06
2030  0.06  0.06  0.06  0.07  0.08  0.08  0.08  0.08  0.08  0.07  0.07  0.06
2031  0.06  0.07  0.06  0.08  0.08  0.08  0.08  0.08  0.08  0.07  0.07  0.06
2032  0.06  0.07  0.06  0.08  0.08  0.08  0.08  0.08  0.08  0.07  0.07  0.06
2033  0.06  0.07  0.06  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.07  0.06
2034  0.06  0.07  0.06  0.08  0.08  0.08  0.08  0.09  0.09  0.08  0.07  0.06
2035  0.06  0.07  0.06  0.08  0.08  0.08  0.08  0.09  0.09  0.08  0.07  0.07
2036  0.06  0.07  0.07  0.08  0.08  0.08  0.08  0.09  0.09  0.08  0.07  0.07
2037  0.07  0.07  0.07  0.08  0.08  0.08  0.08  0.09  0.09  0.08  0.07  0.07
2038  0.07  0.07  0.07  0.08  0.08  0.08  0.09  0.09  0.09  0.08  0.07  0.07
2039  0.07  0.07  0.07  0.08  0.08  0.08  0.09  0.09  0.09  0.08  0.07  0.07
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 183 FONTES A              Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025     0     0     0     0     0     0     0     0     0     0     0     0
2026     0     0     0     0     0     0     0     0     0     0     0     0
2027     0     0     0     0     0     0     0     0     0     0     0     0
2028     0     0     0     0     0     0     0     0     0     0     0     0
2029     0     0     0     0     0     0     0     0     0     0     0     0
2030     0     0     0     0     0     0     0     0     0     0     0     0
2031     0     0     0     0     0     0     0     0     0     0     0     0
2032     0     0     0     0     0     0     0     0     0     0     0     0
2033     0     0     0     0     0     0     0     0     0     0     0     0
2034     0     0     0     0     0     0     0     0     0     0     0     0
2035     0     0     0     0     0     0     0     0     0     0     0     0
2036     0     0     0     0     0     0     0     0     0     0     0     0
2037     0     0     0     0     0     0     0     0     0     0     0     0
2038     0     0     0     0     0     0     0     0     0     0     0     0
2039     0     0     0     0     0     0     0     0     0     0     0     0
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 133 P. PASSOS             Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5
2026   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5
2027   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5
2028   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5
2029   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5
2030   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5
2031   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5
2032   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5
2033   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5
2034   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5
2035   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5
2036   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5
2037   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5
2038   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5
2039   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5   5.5
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 134 SALTO GRANDE          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  4.12  4.38  4.25   4.5  4.73  4.77  4.79  4.86   4.7  4.43  4.14  4.14
2026  4.14   4.4  4.28  4.53  4.77  4.81  4.83   4.9  4.74  4.46  4.16  4.16
2027  4.16  4.43   4.3  4.56  4.81  4.84  4.86  4.93  4.77  4.48  4.18  4.18
2028  4.18  4.45  4.32  4.59  4.84  4.88  4.91  4.98  4.81  4.52   4.2   4.2
2029   4.2  4.48  4.35  4.62  4.88  4.92  4.95  5.02  4.85  4.54  4.22  4.22
