**** Fuel:    201 GAS         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2038 1268.16 1268.16 1268.16 1268.16 1268.16 1268.16 1268.16 1268.16 1268.16 1268.16 1268.16 1268.16
2039 1274.52 1274.52 1274.52 1274.52 1274.52 1274.52 1274.52 1274.52 1274.52 1274.52 1274.52 1274.52
**** Fuel:    785 GAS (785)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025    1029    1029    1029    1029    1029    1029    1029    1029    1029    1029    1029    1029
2026 1087.67 1087.67 1087.67 1087.67 1087.67 1087.67 1087.67 1087.67 1087.67 1087.67 1087.67 1087.67
2027  1092.3  1092.3  1092.3  1092.3  1092.3  1092.3  1092.3  1092.3  1092.3  1092.3  1092.3  1092.3
2028 1098.55 1098.55 1098.55 1098.55 1098.55 1098.55 1098.55 1098.55 1098.55 1098.55 1098.55 1098.55
2029    1105    1105    1105    1105    1105    1105    1105    1105    1105    1105    1105    1105
2030 1112.56 1112.56 1112.56 1112.56 1112.56 1112.56 1112.56 1112.56 1112.56 1112.56 1112.56 1112.56
2031 1118.68 1118.68 1118.68 1118.68 1118.68 1118.68 1118.68 1118.68 1118.68 1118.68 1118.68 1118.68
2032 1127.65 1127.65 1127.65 1127.65 1127.65 1127.65 1127.65 1127.65 1127.65 1127.65 1127.65 1127.65
2033 1132.68 1132.68 1132.68 1132.68 1132.68 1132.68 1132.68 1132.68 1132.68 1132.68 1132.68 1132.68
2034 1140.19 1140.19 1140.19 1140.19 1140.19 1140.19 1140.19 1140.19 1140.19 1140.19 1140.19 1140.19
2035 1149.55 1149.55 1149.55 1149.55 1149.55 1149.55 1149.55 1149.55 1149.55 1149.55 1149.55 1149.55
2036 1155.99 1155.99 1155.99 1155.99 1155.99 1155.99 1155.99 1155.99 1155.99 1155.99 1155.99 1155.99
2037 1163.12 1163.12 1163.12 1163.12 1163.12 1163.12 1163.12 1163.12 1163.12 1163.12 1163.12 1163.12
2038 1168.96 1168.96 1168.96 1168.96 1168.96 1168.96 1168.96 1168.96 1168.96 1168.96 1168.96 1168.96
2039  1174.8  1174.8  1174.8  1174.8  1174.8  1174.8  1174.8  1174.8  1174.8  1174.8  1174.8  1174.8
**** Fuel:    786 GAS (786)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025     912     912     912     912     912     912     912     912     912     912     912     912
2026  963.51  963.51  963.51  963.51  963.51  963.51  963.51  963.51  963.51  963.51  963.51  963.51
2027  967.58  967.58  967.58  967.58  967.58  967.58  967.58  967.58  967.58  967.58  967.58  967.58
2028  973.09  973.09  973.09  973.09  973.09  973.09  973.09  973.09  973.09  973.09  973.09  973.09
2029  978.78  978.78  978.78  978.78  978.78  978.78  978.78  978.78  978.78  978.78  978.78  978.78
2030  985.43  985.43  985.43  985.43  985.43  985.43  985.43  985.43  985.43  985.43  985.43  985.43
2031  990.83  990.83  990.83  990.83  990.83  990.83  990.83  990.83  990.83  990.83  990.83  990.83
2032  998.73  998.73  998.73  998.73  998.73  998.73  998.73  998.73  998.73  998.73  998.73  998.73
2033 1003.16 1003.16 1003.16 1003.16 1003.16 1003.16 1003.16 1003.16 1003.16 1003.16 1003.16 1003.16
2034 1009.77 1009.77 1009.77 1009.77 1009.77 1009.77 1009.77 1009.77 1009.77 1009.77 1009.77 1009.77
2035 1018.02 1018.02 1018.02 1018.02 1018.02 1018.02 1018.02 1018.02 1018.02 1018.02 1018.02 1018.02
2036 1023.69 1023.69 1023.69 1023.69 1023.69 1023.69 1023.69 1023.69 1023.69 1023.69 1023.69 1023.69
2037 1029.97 1029.97 1029.97 1029.97 1029.97 1029.97 1029.97 1029.97 1029.97 1029.97 1029.97 1029.97
2038 1035.12 1035.12 1035.12 1035.12 1035.12 1035.12 1035.12 1035.12 1035.12 1035.12 1035.12 1035.12
2039 1040.27 1040.27 1040.27 1040.27 1040.27 1040.27 1040.27 1040.27 1040.27 1040.27 1040.27 1040.27
**** Fuel:    787 GAS (787)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025    1029    1029    1029    1029    1029    1029    1029    1029    1029    1029    1029    1029
2026 1087.67 1087.67 1087.67 1087.67 1087.67 1087.67 1087.67 1087.67 1087.67 1087.67 1087.67 1087.67
2027  1092.3  1092.3  1092.3  1092.3  1092.3  1092.3  1092.3  1092.3  1092.3  1092.3  1092.3  1092.3
2028 1098.55 1098.55 1098.55 1098.55 1098.55 1098.55 1098.55 1098.55 1098.55 1098.55 1098.55 1098.55
2029    1105    1105    1105    1105    1105    1105    1105    1105    1105    1105    1105    1105
2030 1112.56 1112.56 1112.56 1112.56 1112.56 1112.56 1112.56 1112.56 1112.56 1112.56 1112.56 1112.56
2031 1118.68 1118.68 1118.68 1118.68 1118.68 1118.68 1118.68 1118.68 1118.68 1118.68 1118.68 1118.68
2032 1127.65 1127.65 1127.65 1127.65 1127.65 1127.65 1127.65 1127.65 1127.65 1127.65 1127.65 1127.65
2033 1132.68 1132.68 1132.68 1132.68 1132.68 1132.68 1132.68 1132.68 1132.68 1132.68 1132.68 1132.68
2034 1140.19 1140.19 1140.19 1140.19 1140.19 1140.19 1140.19 1140.19 1140.19 1140.19 1140.19 1140.19
2035 1149.55 1149.55 1149.55 1149.55 1149.55 1149.55 1149.55 1149.55 1149.55 1149.55 1149.55 1149.55
2036 1155.99 1155.99 1155.99 1155.99 1155.99 1155.99 1155.99 1155.99 1155.99 1155.99 1155.99 1155.99
2037 1163.12 1163.12 1163.12 1163.12 1163.12 1163.12 1163.12 1163.12 1163.12 1163.12 1163.12 1163.12
2038 1168.96 1168.96 1168.96 1168.96 1168.96 1168.96 1168.96 1168.96 1168.96 1168.96 1168.96 1168.96
2039  1174.8  1174.8  1174.8  1174.8  1174.8  1174.8  1174.8  1174.8  1174.8  1174.8  1174.8  1174.8
**** Fuel:    788 GAS (788)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025     803     803     803     803     803     803     803     803     803     803     803     803
2026  848.66  848.66  848.66  848.66  848.66  848.66  848.66  848.66  848.66  848.66  848.66  848.66
2027  852.23  852.23  852.23  852.23  852.23  852.23  852.23  852.23  852.23  852.23  852.23  852.23
2028  857.04  857.04  857.04  857.04  857.04  857.04  857.04  857.04  857.04  857.04  857.04  857.04
2029  862.02  862.02  862.02  862.02  862.02  862.02  862.02  862.02  862.02  862.02  862.02  862.02
2030  867.84  867.84  867.84  867.84  867.84  867.84  867.84  867.84  867.84  867.84  867.84  867.84
2031  872.56  872.56  872.56  872.56  872.56  872.56  872.56  872.56  872.56  872.56  872.56  872.56
2032  879.48  879.48  879.48  879.48  879.48  879.48  879.48  879.48  879.48  879.48  879.48  879.48
2033  883.35  883.35  883.35  883.35  883.35  883.35  883.35  883.35  883.35  883.35  883.35  883.35
2034  889.14  889.14  889.14  889.14  889.14  889.14  889.14  889.14  889.14  889.14  889.14  889.14
2035  896.36  896.36  896.36  896.36  896.36  896.36  896.36  896.36  896.36  896.36  896.36  896.36
2036  901.32  901.32  901.32  901.32  901.32  901.32  901.32  901.32  901.32  901.32  901.32  901.32
2037  906.81  906.81  906.81  906.81  906.81  906.81  906.81  906.81  906.81  906.81  906.81  906.81
2038  911.32  911.32  911.32  911.32  911.32  911.32  911.32  911.32  911.32  911.32  911.32  911.32
