**** Fuel:     98 OLEO (98)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2031 2657.21 2657.21 2657.21 2657.21 2657.21 2657.21 2657.21 2657.21 2657.21 2657.21 2657.21 2657.21
2032 2662.75 2662.75 2662.75 2662.75 2662.75 2662.75 2662.75 2662.75 2662.75 2662.75 2662.75 2662.75
2033 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26
2034 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32
2035 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32
2036 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32
2037 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32
2038 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32
2039 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32
**** Fuel:    161 DIESEL (161)
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025 1313.36 1313.36 1313.36 1313.36 1313.36 1313.36 1313.36 1313.36 1313.36 1313.36 1313.36 1313.36
2026 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26
2027  2637.8  2637.8  2637.8  2637.8  2637.8  2637.8  2637.8  2637.8  2637.8  2637.8  2637.8  2637.8
2028 2643.35 2643.35 2643.35 2643.35 2643.35 2643.35 2643.35 2643.35 2643.35 2643.35 2643.35 2643.35
2029 2648.89 2648.89 2648.89 2648.89 2648.89 2648.89 2648.89 2648.89 2648.89 2648.89 2648.89 2648.89
2030 2654.43 2654.43 2654.43 2654.43 2654.43 2654.43 2654.43 2654.43 2654.43 2654.43 2654.43 2654.43
2031 2657.21 2657.21 2657.21 2657.21 2657.21 2657.21 2657.21 2657.21 2657.21 2657.21 2657.21 2657.21
2032 2662.75 2662.75 2662.75 2662.75 2662.75 2662.75 2662.75 2662.75 2662.75 2662.75 2662.75 2662.75
2033 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26
2034 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32
2035 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32
2036 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32
2037 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32
2038 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32
2039 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32 2607.32
**** Fuel:    241 GAS (241)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  423.23  423.23  423.23  423.23  423.23  423.23  423.23  423.23  423.23  423.23  423.23  423.23
2026  373.31  373.31  373.31  373.31  373.31  373.31  373.31  373.31  373.31  373.31  373.31  373.31
2027  354.59  354.59  354.59  354.59  354.59  354.59  354.59  354.59  354.59  354.59  354.59  354.59
2028  335.87  335.87  335.87  335.87  335.87  335.87  335.87  335.87  335.87  335.87  335.87  335.87
2029  317.15  317.15  317.15  317.15  317.15  317.15  317.15  317.15  317.15  317.15  317.15  317.15
2030  298.44  298.44  298.44  298.44  298.44  298.44  298.44  298.44  298.44  298.44  298.44  298.44
2031  288.45  288.45  288.45  288.45  288.45  288.45  288.45  288.45  288.45  288.45  288.45  288.45
2032  278.47  278.47  278.47  278.47  278.47  278.47  278.47  278.47  278.47  278.47  278.47  278.47
2033  268.49  268.49  268.49  268.49  268.49  268.49  268.49  268.49  268.49  268.49  268.49  268.49
2034   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5
2035   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5
2036   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5
2037   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5
2038   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5
2039   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5   258.5
**** Fuel:    147 GAS (147)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  211.71  211.71  211.71  211.71  211.71  211.71  211.71  211.71  211.71  211.71  211.71  211.71
2026  211.56  211.56  211.56  211.56  211.56  211.56  211.56  211.56  211.56  211.56  211.56  211.56
2027  211.42  211.42  211.42  211.42  211.42  211.42  211.42  211.42  211.42  211.42  211.42  211.42
2028  211.23  211.23  211.23  211.23  211.23  211.23  211.23  211.23  211.23  211.23  211.23  211.23
2029  211.09  211.09  211.09  211.09  211.09  211.09  211.09  211.09  211.09  211.09  211.09  211.09
2030  210.94  210.94  210.94  210.94  210.94  210.94  210.94  210.94  210.94  210.94  210.94  210.94
2031   210.8   210.8   210.8   210.8   210.8   210.8   210.8   210.8   210.8   210.8   210.8   210.8
2032  210.66  210.66  210.66  210.66  210.66  210.66  210.66  210.66  210.66  210.66  210.66  210.66
2033  210.51  210.51  210.51  210.51  210.51  210.51  210.51  210.51  210.51  210.51  210.51  210.51
2034  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27
2035  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27
2036  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27
2037  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27
