Num Graph...........................|...Unid Type  Y/N
572 Reserva conjunta maxima termica  MW         1    0
573 Preco de reserva conjunta t�rmica$/MWh      1    0
574 Reserva conjunta maxima hidro    MW         1    0
575 Preco de reserva conjunta hidro  $/MWh      1    0
576 Reserva conjunta maxima renovavelMW         1    0
577 Preco de reserva conjunta renovav$/MWh      1    0
578 Reserva conjunta maxima da bateriMW         1    0
579 Reserva individual de bateria    MW         2    0
580 Cad. Ene.: Producao do prod.     kUE        2    0
581 Cad. Ene.: custo da prod. do prodk$         1    0
582 Cad. Ene.: custo marg. de cap. dok$/UE/d    3    0
584 Uso do conv. fixo                kUE        2    0
586 Custo do conv. fixo              k$         1    0
589 Cad. Ene.: custo marg. do no     k$/unit    3    0
590 Capacidade disponivel elo CC DE->MW         0    0
591 Capacidade disponivel elo CC PARAMW         0    0
592 Emissoes totais de gases         unit       2    0
593 Custo de shutdown                k$         1    0
594 Custo de elo CC                  k$         1    0
596 Violacao de geracao minima de gruMW         2    0
597 Vertimento geracao renovavel nao GWh        2    0
598 Vazao devido a usinas a montante m3/s       2    0
599 Remuneracao de agentes por reservk$         1    0
600 Vazao vertida turbinavel         m3/s       2    0
601 Reservatorio de combustivel: conskUC        2    0
602 Reservatorio de combustivel: injekUC        2    0
603 Volume meta                      hm3        2    0
604 Reservatorio de combustivel: injekUC        2    0
605 Custo de variavel generica       k$         1    0
607 Commitment de grupo gerador hidropu         2    0
608 Custo de viol. de vol. min. op.  k$         8    0
609 Custo de viol. de vol. de alerta k$         8    0
610 Custo marg. de volume min op.    k$/hm3     3    0
611 Custo marg. de volume de alerta  k$/hm3     3    0
612 Custo marginal defluencia minima k$/m3/s    3    0
613 Custo marginal defluencia maxima k$/m3/s    3    0
614 Custo marginal vertimento minimo k$/m3/s    3    0
615 Custo marginal vertimento maximo k$/m3/s    3    0
616 Custo marginal de irrigacao      k$/m3/s    3    0
617 Custo marginal do transformador dk$/MW      3    0
618 Custo marginal do capacitor seriek$/MW      3    0
619 Custo marginal do transformador  k$/MW      3    0
620 Perdas nos transformadores       MW         2    0
621 Perdas nos transformadores de treMW         2    0
622 Perdas nos capacitores serie     MW         2    0
623 Perdas quadraticas nos transformaMW         2    0
624 Perdas quadraticas nos transformaMW         2    0
625 Perdas quadraticas nos capacitoreMW         2    0
626 Erro em perdas nos transformadoreMW         2    0
627 Erro em perdas nos transformadoreMW         2    0
628 Erro em perdas nos capacitores seMW         2    0
629 Fluxo nas linhas CA              MW         2    1
630 Custo marginal da linha CA       k$/MW      3    1
631 Perdas nas linhas CA             MW         2    0
632 Perdas quadraticas nas linhas CA MW         2    0
633 Erro em perdas nas linhas CA     MW         2    0
634 Oferta de geracao hidro          MWh        2    0
635 Custo de oferta de geracao hidro k$         1    0
636 Oferta de geracao termica        MWh        2    0
637 Custo de oferta de geracao termick$         1    0
638 Oferta de geracao renovavel      MWh        2    0
639 Custo de oferta de geracao renovak$         1    0
640 Custo marginal de rampa de subidak$/unit    3    0
641 Custo marginal de rampa de descidk$/unit    3    0
642 Custo marginal de rampa de subidak$/unit    3    0
643 Custo marginal de rampa de descidk$/unit    3    0
644 Custo marginal de rampa de subidak$/unit    3    0
645 Custo marginal de rampa de descidk$/unit    3    0
647 Custo marginal de rampa de subidak$/m/h     3    0
648 Custo marginal de rampa de descidk$/m/h     3    0
649 Custo marginal de rampa de subidak$/m/d     3    0
650 Custo marginal de rampa de descidk$/m/d     3    0
651 Valor da restr. generica lin.    unit       2    0
652 Custo de rampa de subida termica k$         8    0
653 Custo de rampa de descida termicak$         8    0
654 Eficiencia energetica aplicada   MWh        2    0
655 Requerimento de restr. generica dunit       2    0
656 Custo marginal de rampa de subidak$/unit    3    0
657 Custo marginal de rampa de descidk$/unit    3    0
658 Violacao volume minimo           hm3        7    0
661 Violacao volume minimo (dia tipichm3        7    0
662 Violacao volume minimo (dia tipichm3        7    0
