**** Planta:    1 CAMARGOS     Penal:    3102.9723
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2034     213     139     142     123     132      72     130     145     123     125     126     186
2035     213     139     142     123     132      72     130     145     123     125     126     186
2036     213     139     142     123     132      72     130     145     123     125     126     186
2037     213     139     142     123     132      72     130     145     123     125     126     186
2038     213     139     142     123     132      72     130     145     123     125     126     186
2039     213     139     142     123     132      72     130     145     123     125     126     186
**** Planta:   28 CAPIM BRANC2 Penal:    435.37618
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     246     151     142     140     149      94     136     131     132     132     147     188
2026     246     151     142     140     149      94     136     131     132     132     147     188
2027     246     151     142     140     149      94     136     131     132     132     147     188
2028     246     151     142     140     149      94     136     131     132     132     147     188
2029     246     151     142     140     149      94     136     131     132     132     147     188
2030     246     151     142     140     149      94     136     131     132     132     147     188
2031     246     151     142     140     149      94     136     131     132     132     147     188
2032     246     151     142     140     149      94     136     131     132     132     147     188
2033     246     151     142     140     149      94     136     131     132     132     147     188
2034     246     151     142     140     149      94     136     131     132     132     147     188
2035     246     151     142     140     149      94     136     131     132     132     147     188
2036     246     151     142     140     149      94     136     131     132     132     147     188
2037     246     151     142     140     149      94     136     131     132     132     147     188
2038     246     151     142     140     149      94     136     131     132     132     147     188
2039     246     151     142     140     149      94     136     131     132     132     147     188
**** Planta:   29 CORUMBA IV   Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       0       3       0       0       0       0       9       0       0      15      24       0
2026       0       3       0       0       0       0       9       0       0      15      24       0
2027       0       3       0       0       0       0       9       0       0      15      24       0
2028       0       3       0       0       0       0       9       0       0      15      24       0
2029       0       3       0       0       0       0       9       0       0      15      24       0
2030       0       3       0       0       0       0       9       0       0      15      24       0
2031       0       3       0       0       0       0       9       0       0      15      24       0
2032       0       3       0       0       0       0       9       0       0      15      24       0
2033       0       3       0       0       0       0       9       0       0      15      24       0
2034       0       3       0       0       0       0       9       0       0      15      24       0
2035       0       3       0       0       0       0       9       0       0      15      24       0
2036       0       3       0       0       0       0       9       0       0      15      24       0
2037       0       3       0       0       0       0       9       0       0      15      24       0
2038       0       3       0       0       0       0       9       0       0      15      24       0
2039       0       3       0       0       0       0       9       0       0      15      24       0
**** Planta:   30 CORUMBA I    Penal:      685.682
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     140     130     160     153     122     127     129     133     142     148     138     173
2026     140     130     160     153     122     127     129     133     142     148     138     173
2027     140     130     160     153     122     127     129     133     142     148     138     173
2028     140     130     160     153     122     127     129     133     142     148     138     173
2029     140     130     160     153     122     127     129     133     142     148     138     173
2030     140     130     160     153     122     127     129     133     142     148     138     173
2031     140     130     160     153     122     127     129     133     142     148     138     173
2032     140     130     160     153     122     127     129     133     142     148     138     173
2033     140     130     160     153     122     127     129     133     142     148     138     173
2034     140     130     160     153     122     127     129     133     142     148     138     173
2035     140     130     160     153     122     127     129     133     142     148     138     173
2036     140     130     160     153     122     127     129     133     142     148     138     173
2037     140     130     160     153     122     127     129     133     142     148     138     173
2038     140     130     160     153     122     127     129     133     142     148     138     173
2039     140     130     160     153     122     127     129     133     142     148     138     173
**** Planta:   31 ITUMBIARA    Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     244     357     356     322     342      70      70      79      70      70      70     114
2026     244     357     356     322     342      70      70      79      70      70      70     114
2027     244     357     356     322     342      70      70      79      70      70      70     114
2028     244     357     356     322     342      70      70      79      70      70      70     114
2029     244     357     356     322     342      70      70      79      70      70      70     114
2030     244     357     356     322     342      70      70      79      70      70      70     114
2031     244     357     356     322     342      70      70      79      70      70      70     114
2032     244     357     356     322     342      70      70      79      70      70      70     114
2033     244     357     356     322     342      70      70      79      70      70      70     114
2034     244     357     356     322     342      70      70      79      70      70      70     114
2035     244     357     356     322     342      70      70      79      70      70      70     114
2036     244     357     356     322     342      70      70      79      70      70      70     114
2037     244     357     356     322     342      70      70      79      70      70      70     114
2038     244     357     356     322     342      70      70      79      70      70      70     114
2039     244     357     356     322     342      70      70      79      70      70      70     114
**** Planta:   32 CACH DOURADA Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     220     246     211     211     297     205     283     245     241     152     218     227
2026     220     246     211     211     297     205     283     245     241     152     218     227
2027     220     246     211     211     297     205     283     245     241     152     218     227
2028     220     246     211     211     297     205     283     245     241     152     218     227
2029     220     246     211     211     297     205     283     245     241     152     218     227
2030     220     246     211     211     297     205     283     245     241     152     218     227
2031     220     246     211     211     297     205     283     245     241     152     218     227
2032     220     246     211     211     297     205     283     245     241     152     218     227
2033     220     246     211     211     297     205     283     245     241     152     218     227
2034     220     246     211     211     297     205     283     245     241     152     218     227
2035     220     246     211     211     297     205     283     245     241     152     218     227
2036     220     246     211     211     297     205     283     245     241     152     218     227
2037     220     246     211     211     297     205     283     245     241     152     218     227
2038     220     246     211     211     297     205     283     245     241     152     218     227
2039     220     246     211     211     297     205     283     245     241     152     218     227
**** Planta:   33 SAO SIMAO    Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025    1018    1014     996    1021    1064     946     991    1023    1190    1026    1074    1003
2026    1018    1014     996    1021    1064     946     991    1023    1190    1026    1074    1003
2027    1018    1014     996    1021    1064     946     991    1023    1190    1026    1074    1003
2028    1018    1014     996    1021    1064     946     991    1023    1190    1026    1074    1003
2029    1018    1014     996    1021    1064     946     991    1023    1190    1026    1074    1003
2030    1018    1014     996    1021    1064     946     991    1023    1190    1026    1074    1003
2031    1018    1014     996    1021    1064     946     991    1023    1190    1026    1074    1003
2032    1018    1014     996    1021    1064     946     991    1023    1190    1026    1074    1003
2033    1018    1014     996    1021    1064     946     991    1023    1190    1026    1074    1003
2034    1018    1014     996    1021    1064     946     991    1023    1190    1026    1074    1003
2035    1018    1014     996    1021    1064     946     991    1023    1190    1026    1074    1003
2036    1018    1014     996    1021    1064     946     991    1023    1190    1026    1074    1003
2037    1018    1014     996    1021    1064     946     991    1023    1190    1026    1074    1003
2038    1018    1014     996    1021    1064     946     991    1023    1190    1026    1074    1003
2039    1018    1014     996    1021    1064     946     991    1023    1190    1026    1074    1003
**** Planta:   34 _I. SOLTEIRA Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025    2132    2167    2029    1978    2018    1971    2196    2371    2156    1935    2038    2082
2026    2132    2167    2029    1978    2018    1971    2196    2371    2156    1935    2038    2082
2027    2132    2167    2029    1978    2018    1971    2196    2371    2156    1935    2038    2082
