$version=2
!Year,Month,Day,Code,Name,Bus,Existing,Emin,Emax,Pmax,ChargeEffic,DischargeEffic,O&MCost,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev
2038,1,1,1606,Bat-6-11561,11561,0,0,2250.1986885088954,562.5496721272239,0.9,1,0,0,0,0,0,0
2038,1,1,306,Bat-6-12501,12501,0,0,1478.6324535090903,369.65811337727257,0.9,1,0,0,0,0,0,0
2038,1,1,1706,Bat-6-81984,81984,0,0,606.5546147671947,151.63865369179868,0.9,1,0,0,0,0,0,0
2038,1,1,206,Bat-6-544,544,0,0,634.5451879611937,158.63629699029843,0.9,1,0,0,0,0,0,0
2038,1,1,1106,Bat-6-11584,11584,0,0,1869.2834967818615,467.32087419546536,0.9,1,0,0,0,0,0,0
2038,1,1,806,Bat-6-11594,11594,0,0,1395.5458113403397,348.8864528350849,0.9,1,0,0,0,0,0,0
2038,1,1,1206,Bat-6-505,505,0,0,1159.5620460328282,289.89051150820706,0.9,1,0,0,0,0,0,0
2038,1,1,706,Bat-6-11560,11560,0,0,971.8661129680013,242.96652824200032,0.9,1,0,0,0,0,0,0
2038,1,1,1806,Bat-6-80981,80981,0,0,1780.8725607990361,445.21814019975903,0.9,1,0,0,0,0,0,0
2038,1,1,106,Bat-6-12902,12902,0,0,586.308468939125,146.57711723478124,0.9,1,0,0,0,0,0,0
2038,1,1,1006,Bat-6-58121,58121,0,0,1208.1306690848678,302.03266727121695,0.9,1,0,0,0,0,0,0
2038,1,1,1306,Bat-6-80466,80466,0,0,1278.715592791473,319.67889819786825,0.9,1,0,0,0,0,0,0
2038,1,1,606,Bat-6-549,549,0,0,1121.835621293092,280.458905323273,0.9,1,0,0,0,0,0,0
2038,1,1,1406,Bat-6-81983,81983,0,0,1606.5814570618957,401.6453642654739,0.9,1,0,0,0,0,0,0
2038,1,1,506,Bat-6-58691,58691,0,0,1566.2551174207404,391.5637793551851,0.9,1,0,0,0,0,0,0
2038,1,1,1906,Bat-6-12905,12905,0,0,1689.280877862349,422.32021946558723,0.9,1,0,0,0,0,0,0
2039,1,1,1706,Bat-6-81984,81984,0,0,731.848708078119,182.96217701952975,0.9,1,0,0,0,0,0,0
2039,1,1,206,Bat-6-544,544,0,0,765.6212065995533,191.40530164988832,0.9,1,0,0,0,0,0,0
2039,1,1,406,Bat-6-11575,11575,0,0,2442.876280649289,610.7190701623223,0.9,1,0,0,0,0,0,0
2039,1,1,1106,Bat-6-11584,11584,0,0,2255.4155534314527,563.8538883578632,0.9,1,0,0,0,0,0,0
2039,1,1,1406,Bat-6-81983,81983,0,0,1938.4479734348263,484.61199335870657,0.9,1,0,0,0,0,0,0
2039,1,1,1006,Bat-6-58121,58121,0,0,1457.6904500160665,364.4226125040166,0.9,1,0,0,0,0,0,0
2039,1,1,1506,Bat-6-81305,81305,0,0,1384.8059275152627,346.2014818788157,0.9,1,0,0,0,0,0,0
2039,1,1,1606,Bat-6-11561,11561,0,0,2715.0152072231494,678.7538018057874,0.9,1,0,0,0,0,0,0
2039,1,1,306,Bat-6-12501,12501,0,0,1784.0689436323023,446.0172359080756,0.9,1,0,0,0,0,0,0
2039,1,1,1806,Bat-6-80981,80981,0,0,2148.7418463921576,537.1854615980394,0.9,1,0,0,0,0,0,0
2039,1,1,106,Bat-6-12902,12902,0,0,707.4203791080705,176.85509477701763,0.9,1,0,0,0,0,0,0
2039,1,1,906,Bat-6-523,523,0,0,711.4016627776432,177.8504156944108,0.9,1,0,0,0,0,0,0
2039,1,1,606,Bat-6-549,549,0,0,1353.569703586348,338.392425896587,0.9,1,0,0,0,0,0,0
2039,1,1,1306,Bat-6-80466,80466,0,0,1542.855881070117,385.71397026752925,0.9,1,0,0,0,0,0,0
2039,1,1,706,Bat-6-11560,11560,0,0,1172.6214620814112,293.1553655203528,0.9,1,0,0,0,0,0,0
2039,1,1,1206,Bat-6-505,505,0,0,1399.089158115236,349.772289528809,0.9,1,0,0,0,0,0,0
2039,1,1,806,Bat-6-11594,11594,0,0,1683.8193531595832,420.9548382898958,0.9,1,0,0,0,0,0,0
2039,1,1,506,Bat-6-58691,58691,0,0,1889.791547699402,472.4478869248505,0.9,1,0,0,0,0,0,0
2039,1,1,1906,Bat-6-12905,12905,0,0,2038.2303554299747,509.55758885749367,0.9,1,0,0,0,0,0,0
