$version=2
!Year,Month,Day,Code,Name,Bus,Existing,Emin,Emax,Pmax,ChargeEffic,DischargeEffic,O&MCost,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev
2035,1,1,1604,Bat-4-4300,4300,0,0,215.8629755446462,53.96574388616155,0.9,1,0,0,0,0,0,0
2035,1,1,1004,Bat-4-38911,38911,0,0,1166.1569557981156,291.5392389495289,0.9,1,0,0,0,0,0,0
2036,1,1,304,Bat-4-38912,38912,0,0,672.7628250173877,168.19070625434694,0.9,1,0,0,0,0,0,0
2036,1,1,2004,Bat-4-4303,4303,0,0,610.5981715181738,152.64954287954345,0.9,1,0,0,0,0,0,0
2036,1,1,1104,Bat-4-38900,38900,0,0,509.9688451836856,127.4922112959214,0.9,1,0,0,0,0,0,0
2036,1,1,404,Bat-4-80265,80265,0,0,421.9507528284191,105.48768820710478,0.9,1,0,0,0,0,0,0
2036,1,1,504,Bat-4-60341,60341,0,0,391.05767709904796,97.76441927476199,0.9,1,0,0,0,0,0,0
2036,1,1,1404,Bat-4-1525,1525,0,0,1104.967156799797,276.24178919994927,0.9,1,0,0,0,0,0,0
2036,1,1,604,Bat-4-60065,60065,0,0,294.75786028065113,73.68946507016278,0.9,1,0,0,0,0,0,0
2036,1,1,804,Bat-4-80275,80275,0,0,256.7928122854133,64.19820307135332,0.9,1,0,0,0,0,0,0
2036,1,1,1904,Bat-4-4298,4298,0,0,529.004766250675,132.25119156266874,0.9,1,0,0,0,0,0,0
2036,1,1,1304,Bat-4-1512,1512,0,0,333.7842756522405,83.44606891306013,0.9,1,0,0,0,0,0,0
2036,1,1,704,Bat-4-80276,80276,0,0,262.2732567243676,65.5683141810919,0.9,1,0,0,0,0,0,0
2036,1,1,1004,Bat-4-38911,38911,0,0,2319.971183914573,579.9927959786432,0.9,1,0,0,0,0,0,0
2036,1,1,1204,Bat-4-38929,38929,0,0,894.6940055132015,223.6735013783004,0.9,1,0,0,0,0,0,0
2036,1,1,1504,Bat-4-3875,3875,0,0,411.1304672889539,102.78261682223848,0.9,1,0,0,0,0,0,0
2036,1,1,904,Bat-4-4293,4293,0,0,473.5383591971329,118.38458979928322,0.9,1,0,0,0,0,0,0
2036,1,1,1604,Bat-4-4300,4300,0,0,429.44123468773694,107.36030867193423,0.9,1,0,0,0,0,0,0
2036,1,1,1704,Bat-4-4285,4285,0,0,735.9938099421151,183.9984524855288,0.9,1,0,0,0,0,0,0
2036,1,1,1804,Bat-4-3895,3895,0,0,295.1084294823201,73.77710737058003,0.9,1,0,0,0,0,0,0
2036,1,1,104,Bat-4-39813,39813,0,0,340.08915474265143,85.02228868566286,0.9,1,0,0,0,0,0,0
2036,1,1,204,Bat-4-2617,2617,0,0,490.377755591436,122.594438897859,0.9,1,0,0,0,0,0,0
2037,1,1,2004,Bat-4-4303,4303,0,0,715.976251458926,178.9940628647315,0.9,1,0,0,0,0,0,0
2037,1,1,1304,Bat-4-1512,1512,0,0,391.3893385616059,97.84733464040147,0.9,1,0,0,0,0,0,0
2037,1,1,704,Bat-4-80276,80276,0,0,307.5368253077845,76.88420632694613,0.9,1,0,0,0,0,0,0
2037,1,1,1604,Bat-4-4300,4300,0,0,503.5549396899353,125.88873492248382,0.9,1,0,0,0,0,0,0
2037,1,1,504,Bat-4-60341,60341,0,0,458.54708188440407,114.63677047110102,0.9,1,0,0,0,0,0,0
2037,1,1,1404,Bat-4-1525,1525,0,0,1295.664284325815,323.91607108145377,0.9,1,0,0,0,0,0,0
2037,1,1,904,Bat-4-4293,4293,0,0,555.2624215971508,138.8156053992877,0.9,1,0,0,0,0,0,0
2037,1,1,1704,Bat-4-4285,4285,0,0,863.0128842821872,215.7532210705468,0.9,1,0,0,0,0,0,0
2037,1,1,1104,Bat-4-38900,38900,0,0,597.9801433528941,149.49503583822352,0.9,1,0,0,0,0,0,0
