**** Planta:  117 GUARAPIRANGA Penal:         9200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2032      58      58      58      58      58      58      58      58      58      58      58      58
2033      58      58      58      58      58      58      58      58      58      58      58      58
2034      58      58      58      58      58      58      58      58      58      58      58      58
2035      58      58      58      58      58      58      58      58      58      58      58      58
2036      58      58      58      58      58      58      58      58      58      58      58      58
2037      58      58      58      58      58      58      58      58      58      58      58      58
2038      58      58      58      58      58      58      58      58      58      58      58      58
2039      58      58      58      58      58      58      58      58      58      58      58      58
**** Planta:  141 BAGUARI      Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     225     164     315     261     216     208     139     122     109     102     150     212
2026     225     164     315     261     216     208     139     122     109     102     150     212
2027     225     164     315     261     216     208     139     122     109     102     150     212
2028     225     164     315     261     216     208     139     122     109     102     150     212
2029     225     164     315     261     216     208     139     122     109     102     150     212
2030     225     164     315     261     216     208     139     122     109     102     150     212
2031     225     164     315     261     216     208     139     122     109     102     150     212
2032     225     164     315     261     216     208     139     122     109     102     150     212
2033     225     164     315     261     216     208     139     122     109     102     150     212
2034     225     164     315     261     216     208     139     122     109     102     150     212
2035     225     164     315     261     216     208     139     122     109     102     150     212
2036     225     164     315     261     216     208     139     122     109     102     150     212
2037     225     164     315     261     216     208     139     122     109     102     150     212
2038     225     164     315     261     216     208     139     122     109     102     150     212
2039     225     164     315     261     216     208     139     122     109     102     150     212
**** Planta:  143 AIMORES      Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     215     138     343     263     257     246     119     104      68      91     144     182
2026     215     138     343     263     257     246     119     104      68      91     144     182
2027     215     138     343     263     257     246     119     104      68      91     144     182
2028     215     138     343     263     257     246     119     104      68      91     144     182
2029     215     138     343     263     257     246     119     104      68      91     144     182
2030     215     138     343     263     257     246     119     104      68      91     144     182
2031     215     138     343     263     257     246     119     104      68      91     144     182
2032     215     138     343     263     257     246     119     104      68      91     144     182
2033     215     138     343     263     257     246     119     104      68      91     144     182
2034     215     138     343     263     257     246     119     104      68      91     144     182
2035     215     138     343     263     257     246     119     104      68      91     144     182
2036     215     138     343     263     257     246     119     104      68      91     144     182
2037     215     138     343     263     257     246     119     104      68      91     144     182
2038     215     138     343     263     257     246     119     104      68      91     144     182
2039     215     138     343     263     257     246     119     104      68      91     144     182
**** Planta:  144 MASCARENHAS  Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     336     246     476     371     316     324     211     210     210     210     210     273
2026     336     246     476     371     316     324     211     210     210     210     210     273
2027     336     246     476     371     316     324     211     210     210     210     210     273
2028     336     246     476     371     316     324     211     210     210     210     210     273
2029     336     246     476     371     316     324     211     210     210     210     210     273
2030     336     246     476     371     316     324     211     210     210     210     210     273
2031     336     246     476     371     316     324     211     210     210     210     210     273
2032     336     246     476     371     316     324     211     210     210     210     210     273
2033     336     246     476     371     316     324     211     210     210     210     210     273
2034     336     246     476     371     316     324     211     210     210     210     210     273
2035     336     246     476     371     316     324     211     210     210     210     210     273
2036     336     246     476     371     316     324     211     210     210     210     210     273
2037     336     246     476     371     316     324     211     210     210     210     210     273
2038     336     246     476     371     316     324     211     210     210     210     210     273
2039     336     246     476     371     316     324     211     210     210     210     210     273
**** Planta:  145 SUICA        Penal:    52.947748
